Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Mint, Cocoa Powder",Bulking,178mL,350mL,277,13,31,3
2,Pomegranate Juice,Water 200mL,"Basil, Rose Petals",Bulking,189mL,286mL,164,13,18,3
3,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,144mL,251mL,218,18,38,6
4,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Honey, Protein Powder",Bulking,106mL,303mL,72,5,18,6
5,Elderberry,Water 200mL,"Lavender, Rose Petals",Bulking,139mL,256mL,85,6,15,5
6,Beetroot,Water 200mL,"Lemon Zest, Sea Salt",Diet,103mL,392mL,166,17,33,7
7,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Chia Seeds",Diet,150mL,260mL,228,1,39,2
8,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cocoa Powder",Diet,107mL,341mL,244,0,31,2
9,Kombucha,Water 200mL,Rose Petals,Diet,127mL,397mL,60,13,38,3
10,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,108mL,237mL,191,18,3,1
11,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Protein Powder",Diet,104mL,397mL,298,1,16,1
12,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,163mL,391mL,273,8,11,6
13,Pomegranate Juice,Water 200mL,Rose Petals,Bulking,114mL,394mL,98,11,6,8
14,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Ginger",Diet,166mL,397mL,239,11,10,3
15,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,127mL,381mL,116,3,9,7
16,Green Tea,"Green Tea Leaves 5g, Water 200mL",Protein Powder,Diet,173mL,383mL,280,7,14,5
17,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Protein Powder",Diet,125mL,290mL,258,5,15,6
18,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cinnamon",Diet,155mL,287mL,293,0,37,3
19,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,137mL,362mL,96,8,38,6
20,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Chia Seeds",Diet,120mL,209mL,273,1,14,4
21,Elderberry,Water 200mL,"Lavender, Sea Salt",Bulking,129mL,363mL,191,5,24,6
22,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Mint",Diet,173mL,316mL,129,9,29,1
23,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,153mL,235mL,52,17,4,2
24,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Ginger",Diet,130mL,299mL,68,16,21,1
25,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Mint",Diet,162mL,206mL,109,15,34,1
26,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Mint",Bulking,120mL,261mL,169,15,11,8
27,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Honey",Diet,188mL,328mL,269,14,38,4
28,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,130mL,208mL,262,16,25,4
29,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Vanilla Extract",Bulking,141mL,375mL,145,4,33,3
30,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Protein Powder",Bulking,118mL,371mL,95,18,14,8
31,Matcha,Water 200mL,Sea Salt,Bulking,182mL,360mL,204,9,22,4
32,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Cinnamon",Bulking,189mL,247mL,174,6,27,5
33,Kombucha,Water 200mL,"Peppermint, Rose Petals",Bulking,131mL,395mL,156,17,23,5
34,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Chia Seeds",Diet,130mL,316mL,69,3,15,7
35,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Mint",Bulking,170mL,365mL,100,10,23,7
36,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cocoa Powder",Diet,123mL,371mL,192,3,19,0
37,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,152mL,368mL,225,1,14,6
38,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Vanilla Extract",Bulking,122mL,251mL,209,1,4,7
39,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,124mL,313mL,188,16,18,4
40,Elderberry,Water 200mL,"Rose Petals, Basil",Diet,152mL,267mL,100,11,0,6
41,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Mint",Diet,159mL,200mL,121,10,18,0
42,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,191mL,204mL,111,8,6,1
43,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Cinnamon",Bulking,187mL,301mL,69,12,16,4
44,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Cocoa Powder",Diet,174mL,334mL,267,5,26,0
45,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Cinnamon",Diet,189mL,309mL,216,5,26,6
46,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,148mL,393mL,212,7,16,1
47,Beetroot,Water 200mL,"Peppermint, Lavender",Bulking,156mL,311mL,103,12,15,6
48,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,189mL,264mL,148,14,37,6
49,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Chia Seeds",Diet,167mL,368mL,79,7,21,1
50,Matcha,Water 200mL,"Maca Powder, Peppermint",Bulking,109mL,330mL,182,15,24,3
51,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Vanilla Extract",Bulking,191mL,335mL,295,0,8,5
52,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Cocoa Powder",Bulking,183mL,357mL,181,6,0,0
53,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,156mL,385mL,140,7,9,9
54,Protein Shake,"Whey Protein 30g, Milk 200mL",Protein Powder,Bulking,105mL,390mL,200,14,38,1
55,Aloe Vera,Water 200mL,"Rose Petals, Maple Syrup",Diet,120mL,377mL,145,19,15,5
56,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cocoa Powder, Protein Powder",Bulking,114mL,284mL,222,0,14,8
57,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,142mL,305mL,275,3,35,8
58,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,162mL,324mL,233,10,21,9
59,Pomegranate Juice,Water 200mL,Peppermint,Diet,118mL,213mL,53,7,33,4
60,Pomegranate Juice,Water 200mL,Lavender,Bulking,150mL,384mL,124,8,29,6
61,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Cinnamon",Bulking,163mL,376mL,153,16,14,5
62,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Mint",Bulking,162mL,289mL,187,14,16,8
63,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Mint",Diet,101mL,229mL,252,4,17,3
64,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cocoa Powder",Diet,135mL,374mL,262,12,18,2
65,Beetroot,Water 200mL,"Sea Salt, Basil",Diet,110mL,303mL,210,12,6,6
66,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Chia Seeds",Diet,186mL,317mL,243,10,11,6
67,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Ginger",Diet,127mL,375mL,59,8,13,8
68,Beetroot,Water 200mL,"Maple Syrup, Basil",Bulking,181mL,264mL,61,11,25,2
69,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Honey",Bulking,101mL,335mL,203,3,34,4
70,Turmeric,Water 200mL,"Lemon Zest, Peppermint",Bulking,105mL,375mL,238,0,0,4
71,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Chia Seeds",Bulking,192mL,350mL,234,16,34,9
72,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Mint",Diet,125mL,372mL,167,14,22,9
73,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,141mL,352mL,277,14,10,5
74,Pomegranate Juice,Water 200mL,"Maca Powder, Maple Syrup",Bulking,135mL,287mL,133,0,32,6
75,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Mint",Bulking,129mL,231mL,186,4,18,9
76,Turmeric,Water 200mL,Basil,Diet,126mL,273mL,85,14,18,8
77,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Vanilla Extract",Bulking,149mL,257mL,170,2,21,9
78,Coconut Water,Water 200mL,"Rose Petals, Basil",Bulking,171mL,280mL,190,7,21,5
79,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Cinnamon",Bulking,130mL,381mL,216,14,28,3
80,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Mint",Diet,135mL,238mL,216,10,19,2
81,Kombucha,Water 200mL,"Rose Petals, Basil",Diet,113mL,392mL,176,5,2,0
82,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,180mL,273mL,196,14,37,7
83,Pomegranate Juice,Water 200mL,Peppermint,Diet,152mL,203mL,131,13,20,8
84,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Honey",Bulking,120mL,308mL,143,3,24,8
85,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Chia Seeds",Diet,196mL,201mL,240,19,27,8
86,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Chia Seeds",Bulking,175mL,374mL,167,1,19,3
87,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,106mL,229mL,214,2,1,8
88,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Honey",Bulking,169mL,385mL,79,14,6,2
89,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,101mL,338mL,121,15,37,3
90,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Cocoa Powder",Diet,181mL,252mL,242,4,39,4
91,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Ginger",Bulking,117mL,353mL,232,0,7,6
92,Matcha,Water 200mL,Maple Syrup,Bulking,135mL,295mL,228,18,4,0
93,Elderberry,Water 200mL,"Rose Petals, Basil",Diet,140mL,255mL,163,11,22,7
94,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,179mL,314mL,94,3,16,4
95,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,184mL,308mL,52,11,21,8
96,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,174mL,293mL,151,9,7,7
