Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1,Roasted Carrots,"Carrot 92g, Spices Rosemary","Cumin, Chili Powder, Paprika, Cinnamon",Vegetable,Diet,60g/134mL,183g/281mL,690,45,54,29
2,Hot Chicken Wings,"Broccoli 148g, Spices Thyme, Thyme, Black Mustard Seed",Cinnamon,Spicy,Diet,66g/123mL,141g/275mL,372,19,56,26
3,Roasted Carrots,"Soy 68g, Spices Black Pepper","Turmeric, Cumin, Chili Powder",Vegetable,Diet,84g/131mL,164g/208mL,635,22,88,29
4,Fried Rice,"Yogurt 95g, Spices Turmeric","Cinnamon, Paprika, Hot Sauce, Cumin",Savory,Diet,64g/102mL,102g/207mL,674,18,36,18
5,Fruit Kebabs,"Carrot 74g, Spices Cardamom, Ginger, Cardamom",Turmeric,Fruit,Diet,99g/121mL,139g/235mL,583,41,25,22
6,Pork Ribs,"Soy 118g, Spices Turmeric","Garlic Powder, Cardamom",Meat,Diet,55g/102mL,152g/291mL,229,18,76,20
7,Duck Confit,"Wheat Flour 92g, Spices Black Mustard Seed, Black Pepper, Thyme","Turmeric, Cardamom",Meat,Diet,90g/112mL,113g/270mL,701,16,98,18
8,Jalapeno Poppers,"Egg 50g, Spices Cumin, Black Pepper","Cayenne Pepper, Cinnamon, Black Mustard Seed, Black Pepper",Spicy,Diet,78g/140mL,184g/275mL,572,32,46,12
9,Jalapeno Poppers,"Egg 74g, Spices Oregano, Rosemary, Ginger","Rosemary, Hot Sauce, Black Mustard Seed, Paprika",Spicy,Diet,74g/127mL,194g/222mL,300,44,34,6
10,Mushroom Risotto,"Salmon 70g, Spices Cardamom, Paprika, Black Mustard Seed","Cayenne Pepper, Cardamom, Cinnamon, Hot Sauce",Savory,Diet,66g/134mL,132g/291mL,588,24,41,20
11,Pumpkin Spice Latte,"Milk 114g, Spices Black Mustard Seed","Garlic Powder, Thyme",Sweet,Diet,93g/109mL,138g/264mL,254,32,78,15
12,Salad Bowl,"Yogurt 127g, Spices Cumin, Cardamom","Garlic Powder, Cumin, Cayenne Pepper, Ginger",Vegetable,Diet,76g/120mL,162g/265mL,705,28,63,21
13,Jalapeno Poppers,"Almond 87g, Spices Cumin, Black Mustard Seed","Cinnamon, Black Mustard Seed, Garlic Powder, Cumin",Spicy,Diet,54g/103mL,183g/238mL,282,40,22,22
14,Garlic Bread,"Banana 132g, Spices Hot Sauce","Cardamom, Thyme, Rosemary, Ginger",Savory,Diet,79g/147mL,157g/291mL,265,27,65,26
15,Fried Rice,"Yogurt 53g, Spices Thyme","Black Pepper, Thyme, Cardamom, Garlic Powder",Savory,Diet,53g/103mL,130g/223mL,463,7,67,23
16,Chicken Soup,"Butter 120g, Spices Ginger, Paprika, Cardamom","Garlic Powder, Hot Sauce, Black Mustard Seed, Chili Powder",Savory,Diet,79g/102mL,174g/211mL,395,13,71,6
17,Fruit Kebabs,"Garlic 118g, Spices Ginger, Turmeric",Cardamom,Fruit,Diet,99g/112mL,175g/234mL,288,38,98,29
18,Fruit Kebabs,"Oat 134g, Spices Black Mustard Seed","Rosemary, Hot Sauce, Thyme, Cayenne Pepper",Fruit,Diet,90g/107mL,175g/241mL,555,47,61,11
19,Vegetable Curry,"Chicken Breast 50g, Spices Chili Powder, Rosemary, Oregano","Chili Powder, Thyme, Turmeric, Ginger",Vegetable,Diet,72g/125mL,122g/270mL,701,15,40,22
20,Chocolate Cake,"Butter 69g, Spices Rosemary, Black Mustard Seed",Black Mustard Seed,Sweet,Diet,62g/104mL,140g/224mL,584,48,84,18
21,Berry Smoothie,"Milk 104g, Spices Cayenne Pepper","Chili Powder, Paprika",Fruit,Diet,97g/131mL,150g/239mL,273,41,71,18
22,Spicy Tacos,"Tomato 61g, Spices Garlic Powder, Cumin",Chili Powder,Spicy,Diet,63g/111mL,125g/237mL,458,46,24,20
23,Fried Rice,"Carrot 80g, Spices Cardamom, Paprika, Paprika",Cinnamon,Savory,Diet,60g/132mL,142g/252mL,203,6,52,16
24,Mushroom Risotto,"Wheat Flour 59g, Spices Garlic Powder, Black Pepper, Turmeric","Paprika, Chili Powder, Cayenne Pepper",Savory,Diet,56g/105mL,123g/265mL,530,22,66,12
25,Chocolate Cake,"Turkey Slices 73g, Spices Oregano, Cinnamon",Cinnamon,Sweet,Diet,89g/135mL,116g/201mL,605,29,85,27
26,Duck Confit,"Broccoli 121g, Spices Cardamom, Ginger","Garlic Powder, Black Pepper",Meat,Diet,50g/123mL,111g/265mL,467,39,38,18
27,Jalapeno Poppers,"Cheese 81g, Spices Cardamom, Rosemary",Oregano,Spicy,Diet,91g/148mL,123g/290mL,777,45,63,21
28,Stir Fried Greens,"Tomato 140g, Spices Garlic Powder, Chili Powder, Chili Powder","Turmeric, Ginger, Oregano",Vegetable,Diet,93g/129mL,130g/268mL,608,19,85,20
29,Chocolate Cake,"Salmon 57g, Spices Turmeric, Paprika","Turmeric, Thyme, Hot Sauce, Black Pepper",Sweet,Diet,55g/136mL,104g/230mL,688,14,67,28
30,Maple Pecan Pie,"Almond 148g, Spices Turmeric","Turmeric, Cayenne Pepper, Hot Sauce",Sweet,Diet,90g/118mL,150g/222mL,210,23,70,22
31,Blueberry Muffin,"Wheat Flour 122g, Spices Cinnamon, Chili Powder","Chili Powder, Rosemary, Cumin, Thyme",Sweet,Diet,74g/102mL,131g/277mL,309,24,29,22
